n_nodes,repetition,pass,convergence_s,connections_observed,connections_expected,propagation_n_samples,propagation_latency_median_ms,propagation_latency_p95_ms,propagation_latency_p99_ms,apply_events_total,lifecycle_events_total,wall_time_s,fatal_error
2,0,True,1.0872823749996314,2,2,35,0.0,0.0,0.0,40,9,7.81193125199934,
2,1,True,1.0444121350001296,2,2,35,0.0,0.0,0.0,40,9,7.798934696999822,
2,2,True,1.09381189800024,2,2,35,0.0,0.0,0.0,40,9,8.000388624000152,
2,3,True,1.0529210860004241,2,2,35,0.0,0.0,0.0,40,9,7.761053225000069,
2,4,True,1.0422953019997294,2,2,35,0.0,0.0,0.0,40,9,7.853721561000384,
2,5,True,1.0391250860002401,2,2,35,0.0,0.0,0.0,40,9,7.605191833999925,
2,6,True,1.0359647069999482,2,2,35,0.0,0.0,0.0,38,9,7.566382232999786,
2,7,True,1.035292252000545,2,2,35,0.0,0.0,0.0,40,9,7.746339049000198,
2,8,True,1.038059976999648,2,2,35,0.0,0.0,0.0,40,9,7.6114721280000595,
2,9,True,1.0345935559998907,2,2,35,0.0,0.0,0.0,40,9,7.6365261299997655,
2,10,True,1.0870564890001333,2,2,35,0.0,0.0,0.0,40,9,7.664139186000284,
2,11,True,1.0916847609996694,2,2,35,0.0,0.0,0.0,40,9,7.716936284999974,
2,12,True,1.0346461250001084,2,2,35,0.0,0.0,0.0,40,9,7.67455149000034,
2,13,True,1.1430784019994462,2,2,35,0.0,0.0,0.0,40,9,8.097523612999794,
2,14,True,1.0844064279999657,2,2,35,0.0,0.0,0.0,40,9,7.803059172999383,
2,15,True,1.1499001039992436,2,2,35,0.0,0.0,0.0,40,9,7.97929691399986,
2,16,True,1.0375375079993319,2,2,35,0.0,0.0,0.0,40,9,7.717307982999955,
2,17,True,1.0866349640000408,2,2,35,0.0,0.0,0.0,40,9,7.888070293000055,
2,18,True,1.0345488559996738,2,2,35,0.0,0.0,0.0,40,9,7.83881004199975,
2,19,True,1.0883547830007956,2,2,35,0.0,0.0,0.0,40,9,7.941314386000158,
2,20,True,1.091370346000076,2,2,35,0.0,0.0,0.0,40,9,7.810283232999609,
2,21,True,1.0959055800003625,2,2,35,0.0,0.0,0.0,40,9,7.6799444700000095,
2,22,True,1.0883738210004594,2,2,35,0.0,0.0,0.0,40,9,7.637890524000795,
2,23,True,1.040598360000331,2,2,35,0.0,0.0,0.0,40,9,7.624742751000667,
2,24,True,1.0452455570002712,2,2,35,0.0,0.0,0.0,40,9,7.6312059990004855,
2,25,True,1.0842236019998381,2,2,36,0.0,0.0,0.0,41,9,7.741295838000042,
2,26,True,1.0846247859999494,2,2,35,0.0,0.0,0.0,40,9,7.833143330999519,
2,27,True,1.1413485869998112,2,2,35,0.0,0.0,0.0,39,9,7.973632121999799,
2,28,True,1.048780089999127,2,2,35,0.0,0.0,0.0,40,9,7.764861011999528,
2,29,True,1.1402941549995376,2,2,35,0.0,0.0,0.0,40,9,7.913644372999443,
4,0,True,2.415228087000287,12,12,99,0.0,0.0,0.0,119,57,9.213759279999977,
4,1,True,2.4078018790005444,12,12,99,0.0,0.0,0.0,111,57,9.314625402000274,
4,2,True,2.376253438999811,12,12,96,0.0,0.0,0.0,116,57,9.248131816999376,
4,3,True,2.4246812609999324,12,12,99,0.0,0.0,0.0,117,57,9.334623069999907,
4,4,True,2.4157988859997204,12,12,99,0.0,0.0,0.0,119,57,9.244874686999538,
4,5,True,2.35278378699968,12,12,96,0.0,0.0,0.0,111,57,9.20494798799973,
4,6,True,2.7126466350000555,12,12,96,0.0,0.0,0.0,111,54,9.65859200200066,
4,7,True,2.4273737450002955,12,12,99,0.0,0.0,0.0,117,57,9.277480245999868,
4,8,True,2.3384787109998797,12,12,99,0.0,0.0,0.0,117,57,9.349323598999945,
4,9,True,2.5122032700001,12,12,96,0.0,0.0,0.0,108,57,9.255516571000044,
4,10,True,2.3519072680001045,12,12,96,0.0,0.0,0.0,114,57,9.182853440000144,
4,11,True,2.468548718999955,12,12,96,0.0,0.0,0.0,114,57,9.459453102000225,
4,12,True,2.37937823700031,12,12,99,0.0,0.0,0.0,114,57,9.434841385999789,
4,13,True,2.424976258999777,12,12,99,0.0,0.0,0.0,111,57,9.473086746999797,
4,14,True,3.497985719999633,12,12,96,0.0,0.0,0.0,113,58,10.474476712999603,
4,15,True,3.51087680099954,12,12,99,0.0,0.0,0.0,111,58,10.534476676999475,
4,16,True,2.3506136780006273,12,12,96,0.0,0.0,0.0,108,57,9.281862116000411,
4,17,True,2.4067031849999694,12,12,99,0.0,0.0,0.0,111,57,9.312966269999379,
4,18,True,2.4115612370005692,12,12,99,0.0,0.0,0.0,114,57,9.368331233999925,
4,19,True,2.3568991070005723,12,12,96,0.0,0.0,0.0,117,57,9.136295733000225,
4,20,True,2.358480946000782,12,12,96,0.0,0.0,0.0,114,57,9.056306267000764,
4,21,True,2.3697336420000283,12,12,102,0.0,0.0,0.0,120,57,9.266248896999969,
4,22,True,2.3559797369998705,12,12,96,0.0,0.0,0.0,111,57,9.214459125999383,
4,23,True,2.352988317999916,12,12,99,0.0,0.0,0.0,114,57,9.204502331000185,
4,24,True,2.3607905480002955,12,12,96,0.0,0.0,0.0,116,57,9.181921969000541,
4,25,True,2.3747800439996354,12,12,99,0.0,0.0,0.0,117,57,9.211904230999608,
4,26,True,2.3827636100004383,12,12,99,0.0,0.0,0.0,114,57,9.261627662999672,
4,27,True,2.3577823100004025,12,12,99,0.0,0.0,0.0,117,57,9.129369858000246,
4,28,True,2.35391222600083,12,12,96,0.0,0.0,0.0,114,57,9.082034998000381,
4,29,True,2.351819563999925,12,12,99,0.0,0.0,0.0,119,57,9.034633809000297,
8,0,True,6.772723453000253,56,56,224,0.0,0.0,0.0,308,285,14.011744530000215,
8,1,True,6.826790269999947,56,56,224,0.0,0.0,0.0,292,286,14.02337282299959,
8,2,True,6.753359399999681,56,56,224,0.0,0.0,0.0,292,284,13.989097276999928,
8,3,True,6.779701662999287,56,56,224,0.0,0.0,0.0,292,285,13.853906190999624,
8,4,True,6.804494680000062,56,56,224,0.0,0.0,0.0,303,285,14.030188151999937,
8,5,True,7.929538248999961,56,56,224,0.0,0.0,0.0,357,292,15.178469554000003,
8,6,True,6.795023335000224,56,56,231,0.0,0.0,0.0,305,286,14.18676798100023,
8,7,True,6.8362536410004395,56,56,224,0.0,0.0,0.0,301,285,14.142835159000242,
8,8,True,6.764012218000062,56,56,224,0.0,0.0,0.0,292,285,14.074606838000363,
8,9,True,6.7899802500005535,56,56,224,0.0,0.0,0.0,314,285,14.26370275499994,
8,10,True,7.378055747999497,56,56,231,0.0,0.0,0.0,313,287,14.817212111000117,
8,11,True,6.752461969000251,56,56,224,0.0,0.0,0.0,296,285,14.20855655000014,
8,12,True,6.812733867999668,56,56,224,0.0,0.0,0.0,292,285,14.449639534999733,
8,13,True,6.8357868189996225,56,56,224,0.0,0.0,0.0,319,286,14.318028327999855,
8,14,True,6.7760558620002485,56,56,231,0.0,0.0,0.0,301,284,14.220949740999458,
8,15,True,6.750575142999878,56,56,224,0.0,0.0,0.0,301,284,14.745175453000229,
8,16,True,6.805462743000135,56,56,224,0.0,0.0,0.0,292,285,14.298527109000133,
8,17,True,6.796737061000385,56,56,224,0.0,0.0,0.0,310,287,14.19029610600046,
8,18,True,6.7646516289996725,56,56,224,0.0,0.0,0.0,292,284,14.14376489499955,
8,19,True,6.853759139000431,56,56,224,0.0,0.0,0.0,303,286,14.14139673400041,
8,20,True,6.82296229900021,56,56,224,0.0,0.0,0.0,292,284,13.960009323999657,
8,21,True,6.761574697000469,56,56,224,0.0,0.0,0.0,292,284,13.885730500000136,
8,22,True,6.759981917000005,56,56,224,0.0,0.0,0.0,301,284,13.961722044999988,
8,23,True,7.222407582999949,56,56,224,0.0,0.0,0.0,325,289,14.600881297999877,
8,24,True,6.786809539999922,56,56,224,0.0,0.0,0.0,296,285,14.25850589699985,
8,25,True,7.154764902000352,56,56,224,0.0,0.0,0.0,296,281,14.49091481600044,
8,26,True,6.745643879999989,56,56,224,0.0,0.0,0.0,299,286,14.056910351000624,
8,27,True,6.775325585000246,56,56,224,0.0,0.0,0.0,292,285,14.377552396000283,
8,28,True,6.709607073999905,56,56,231,0.0,0.0,0.0,301,286,14.236082143000203,
8,29,True,6.7808723140005895,56,56,224,0.0,0.0,0.0,292,284,14.09761465200063,
16,0,True,12.869488004999766,240,240,480,0.0,0.0,0.0,722,1320,21.06377983099992,
16,1,True,12.914722610000354,240,240,480,0.0,0.0,0.0,726,1320,22.480572700000266,
16,2,True,12.888832753000315,240,240,495,0.0,0.0,0.0,766,1318,21.085065653999663,
16,3,True,12.90143647900004,240,240,480,0.0,0.0,0.0,724,1319,20.833099501000106,
16,4,True,13.338925412999743,240,240,480,0.0,0.0,0.0,726,1323,21.754989997999473,
16,5,True,13.104242875999262,240,240,480,0.0,0.0,0.0,784,1333,21.485404737999488,
16,6,True,12.889602054000534,240,240,480,0.0,0.0,0.0,722,1317,21.026622672000485,
16,7,True,12.868244326000422,240,240,480,0.0,0.0,0.0,728,1317,21.33572394500061,
16,8,True,12.893118218999916,240,240,480,0.0,0.0,0.0,738,1318,21.230161757999667,
16,9,True,12.967120367000462,240,240,480,0.0,0.0,0.0,738,1318,21.451532895000128,
16,10,True,13.022888985999998,240,240,480,0.0,0.0,0.0,746,1318,21.573475809999763,
16,11,True,12.917762413999299,240,240,480,0.0,0.0,0.0,722,1318,21.167521782999756,
16,12,True,12.470915515000343,240,240,480,0.0,0.0,0.0,720,1315,20.841057324000758,
16,13,True,12.794639433999691,240,240,480,0.0,0.0,0.0,722,1315,20.73449903799974,
16,14,True,12.778635840999414,240,240,480,0.0,0.0,0.0,720,1315,20.74511587699999,
16,15,True,12.880089586000395,240,240,480,0.0,0.0,0.0,742,1315,20.84623044,
16,16,True,12.78291492399967,240,240,480,0.0,0.0,0.0,726,1316,20.694264114999896,
16,17,True,12.784799389,240,240,480,0.0,0.0,0.0,722,1317,20.775317057000393,
16,18,True,12.8552778760004,240,240,480,0.0,0.0,0.0,722,1317,21.03160320400002,
16,19,True,12.806642749000275,240,240,480,0.0,0.0,0.0,730,1318,21.02747073499995,
16,20,True,12.846050203000232,240,240,480,0.0,0.0,0.0,736,1318,21.158845605999886,
16,21,True,13.027710381999896,240,240,480,0.0,0.0,0.0,744,1303,21.518597852999847,
16,22,True,13.726784967999265,240,240,495,0.0,0.0,0.0,827,1336,23.883285248999528,
16,23,True,13.049132416000248,240,240,480,0.0,0.0,0.0,746,1331,24.13430145700022,
16,24,True,13.035814013000163,240,240,480,0.0,0.0,0.0,726,1322,22.539027957000144,
16,25,True,12.816351727000438,240,240,480,0.0,0.0,0.0,730,1320,21.34484022000015,
16,26,True,12.379674603999774,240,240,480,0.0,0.0,0.0,720,1317,20.45387214099992,
16,27,True,12.911895451999953,240,240,480,0.0,0.0,0.0,732,1318,21.178488573000323,
16,28,True,12.83137516700026,240,240,480,0.0,0.0,0.0,722,1320,20.944606155000656,
16,29,True,12.86700359400038,240,240,480,0.0,0.0,0.0,752,1316,21.019927819999793,
32,0,True,20.830116319999433,992,992,961,0.0,0.0,0.0,1147,5903,30.88315982899985,
32,1,True,20.908574544000658,992,992,961,0.0,0.0,0.0,1085,5909,30.993427615000655,
32,2,True,20.892533357000502,992,992,961,0.0,0.0,0.0,1209,5909,31.03964852700028,
32,3,True,20.93041752099998,992,992,961,0.0,0.0,0.0,1271,5902,32.44019371399918,
32,4,True,20.951840243999868,992,992,992,0.0,0.0,0.0,1984,5904,37.14401151600032,
32,5,True,20.7088442080003,992,992,961,0.0,0.0,0.0,1271,5901,31.40430003000074,
